LEVEL,DMCODE,GEOM,SLD_FILE,STYLE_LAYER_ID,SPRITE_ID,DECORATION,STATUS,NOTE
5000,6214,point,DM_6214.sld,dm-6214-point-5000-symbol,dm-6214,,supported,
5000,6215,point,DM_6215.sld,dm-6215-point-5000-symbol,dm-6215,,supported,
5000,6216,point,DM_6216.sld,dm-6216-point-5000-symbol,dm-6216,,supported,
5000,6217,point,DM_6217.sld,dm-6217-point-5000-symbol,dm-6217,,supported,
5000,6221,point,DM_6221.sld,dm-6221-point-5000-symbol,dm-6221,,supported,
5000,6222,point,DM_6222.sld,dm-6222-point-5000-symbol,dm-6222,,supported,
5000,6225,point,DM_6225.sld,dm-6225-point-5000-symbol,dm-6225,,supported,
5000,6226,point,DM_6226.sld,dm-6226-point-5000-symbol,dm-6226,,supported,
5000,6301,line,DM_6301.sld,dm-6301-line-5000-line,,,supported,
5000,6302,line,DM_6302.sld,dm-6302-line-5000-line,,,supported,
5000,6311,point,DM_6311.sld,dm-6311-point-5000-symbol,dm-6311,,supported,
5000,6313,point,DM_6313.sld,dm-6313-point-5000-symbol,dm-6313,,supported,
5000,6314,point,DM_6314.sld,dm-6314-point-5000-symbol,dm-6314,,supported,
5000,6315,point,DM_6315.sld,dm-6315-point-5000-symbol,dm-6315,,supported,
5000,6317,point,DM_6317.sld,dm-6317-point-5000-symbol,dm-6317,,supported,
5000,6318,point,DM_6318.sld,dm-6318-point-5000-symbol,dm-6318,,supported,
5000,6319,point,DM_6319.sld,dm-6319-point-5000-symbol,dm-6319,,supported,
5000,6321,point,DM_6321.sld,dm-6321-point-5000-symbol,dm-6321,,supported,
5000,6323,point,DM_6323.sld,dm-6323-point-5000-symbol,dm-6323,,supported,
5000,6331,point,DM_6331.sld,dm-6331-point-5000-symbol,dm-6331,,supported,
5000,6332,point,DM_6332.sld,dm-6332-point-5000-symbol,dm-6332,,supported,
5000,6333,point,DM_6333.sld,dm-6333-point-5000-symbol,dm-6333,,supported,
5000,6334,point,DM_6334.sld,dm-6334-point-5000-symbol,dm-6334,,supported,
5000,6335,point,DM_6335.sld,dm-6335-point-5000-symbol,dm-6335,,supported,
5000,6336,point,DM_6336.sld,dm-6336-point-5000-symbol,dm-6336,,supported,
5000,6337,point,DM_6337.sld,dm-6337-point-5000-symbol,dm-6337,,supported,
5000,6338,point,DM_6338.sld,dm-6338-point-5000-symbol,dm-6338,,supported,
5000,6340,point,DM_6340.sld,dm-6340-point-5000-symbol,dm-6340,,supported,1.2 mm S centered on point
5000,7101,line,DM_7101.sld,dm-7101-line-5000-line,,,supported,
5000,7102,line,DM_7102.sld,dm-7102-line-5000-line,,,supported,
5000,7103,line,DM_7103.sld,dm-7103-line-5000-line,,,supported,
5000,7104,line,DM_7104.sld,dm-7104-line-5000-line,,,supported,
5000,7105,line,DM_7105.sld,dm-7105-line-5000-line,,,supported,
5000,7106,line,DM_7106.sld,dm-7106-line-5000-line,,,supported,
5000,7107,line,DM_7107.sld,dm-7107-line-5000-line,,,supported,
5000,7199,line,DM_7199.sld,dm-7199-line-5000-line,,,supported,
5000,7199,point,DM_7199.sld,,,,unsupported,point symbol source is unavailable
5000,7201,line,DM_7201.sld,dm-7201-line-5000-line,dm-7201,,supported,
5000,7201,point,DM_7201.sld,dm-7201-point-5000-symbol,dm-7201,,supported,2 mm high (土) centered on point
5000,7202,line,DM_7202.sld,dm-7202-line-5000-line,,,supported,
5000,7206,point,DM_7206.sld,dm-7206-point-5000-symbol,dm-7206,,supported,
5000,7211,line,DM_7211.sld,dm-7211-line-5000-line,dm-7211,,supported,
5000,7211,point,DM_7211.sld,dm-7211-point-5000-symbol,dm-7211,,supported,2 mm high (岩) centered on point
5000,7212,line,DM_7212.sld,dm-7212-line-5000-line,,,supported,
5000,7213,line,DM_7213.sld,dm-7213-line-5000-line,,,supported,
5000,7213,point,DM_7213.sld,dm-7213-point-5000-symbol,dm-7213,,supported,
5000,7214,line,DM_7214.sld,dm-7214-line-5000-line,,,supported,
5000,7301,point,DM_7301.sld,dm-7301-point-5000-symbol,dm-7301,,supported,
5000,7302,point,DM_7302.sld,dm-7302-point-5000-symbol,dm-7302,,supported,
5000,7303,point,DM_7303.sld,dm-7303-point-5000-symbol,dm-7303,,supported,unfilled concentric 0.3 mm and 1.2 mm circles with 0.2 mm stroke
5000,7304,point,DM_7304.sld,dm-7304-point-5000-symbol,dm-7304,,supported,
5000,7305,point,DM_7305.sld,dm-7305-point-5000-symbol,dm-7305,,supported,
5000,7308,point,DM_7308.sld,dm-7308-point-5000-symbol,dm-7308,,supported,
5000,7311,point,DM_7311.sld,dm-7311-point-5000-symbol,,,supported,unfilled 0.3 mm circle with 0.2 mm stroke
5000,7312,point,DM_7312.sld,dm-7312-point-5000-symbol,,,supported,unfilled 0.3 mm diameter circle with 0.2 mm stroke
5000,8199,point,DM_8199.sld,dm-8199-point-5000-symbol,,,supported,unfilled 0.3 mm diameter circle with 0.2 mm stroke
